Search parameters {'num_hidden': 9, 'size_layer': 298, 'learning_rate': 0.04863470799501029, 'dropout_rate': 0.788486779870825}	 stop after 400 iteration with train cost	0.384520	 test cost	1.234645	 train acc	0.854200	 test acc	0.386552
Search parameters {'num_hidden': 8, 'size_layer': 298, 'learning_rate': 0.01, 'dropout_rate': 0.6}	 stop after 400 iteration with train cost	0.404546	 test cost	1.295970	 train acc	0.838449	 test acc	0.372295
Search parameters {'num_hidden': 10, 'size_layer': 342, 'learning_rate': 0.09140560172777427, 'dropout_rate': 0.6340665131636726}	 stop after 400 iteration with train cost	0.488738	 test cost	1.649355	 train acc	0.808289	 test acc	0.000000
Search parameters {'num_hidden': 9, 'size_layer': 299, 'learning_rate': 0.014627882957159392, 'dropout_rate': 0.6445008932960035}	 stop after 400 iteration with train cost	0.393351	 test cost	1.267667	 train acc	0.849280	 test acc	0.391405
Search parameters {'num_hidden': 9, 'size_layer': 298, 'learning_rate': 0.01, 'dropout_rate': 0.9}	 stop after 400 iteration with train cost	0.386177	 test cost	1.234188	 train acc	0.852577	 test acc	0.403438
Search parameters {'num_hidden': 7, 'size_layer': 262, 'learning_rate': 0.10097819522404773, 'dropout_rate': 0.8080007151051192}	 stop after 400 iteration with train cost	0.383185	 test cost	1.232792	 train acc	0.855215	 test acc	0.364611
Search parameters {'num_hidden': 10, 'size_layer': 254, 'learning_rate': 0.064918437255093, 'dropout_rate': 0.8683366559856927}	 stop after 400 iteration with train cost	0.384331	 test cost	1.248366	 train acc	0.855469	 test acc	0.360667
Search parameters {'num_hidden': 8, 'size_layer': 338, 'learning_rate': 0.02763169892011918, 'dropout_rate': 0.7055784812795423}	 stop after 400 iteration with train cost	0.387821	 test cost	1.245616	 train acc	0.852653	 test acc	0.393327
Search parameters {'num_hidden': 8, 'size_layer': 338, 'learning_rate': 0.13839868284429147, 'dropout_rate': 0.8886380974535592}	 stop after 400 iteration with train cost	0.382898	 test cost	1.230677	 train acc	0.854885	 test acc	0.353084
Search parameters {'num_hidden': 7, 'size_layer': 338, 'learning_rate': 0.03443310705661286, 'dropout_rate': 0.8256163549500432}	 stop after 400 iteration with train cost	0.384769	 test cost	1.235508	 train acc	0.854708	 test acc	0.391203
Search parameters {'num_hidden': 9, 'size_layer': 349, 'learning_rate': 0.2, 'dropout_rate': 0.9}	 stop after 400 iteration with train cost	0.382242	 test cost	1.233916	 train acc	0.855291	 test acc	0.352781
Search parameters {'num_hidden': 7, 'size_layer': 339, 'learning_rate': 0.17484691109970343, 'dropout_rate': 0.8432258987071284}	 stop after 400 iteration with train cost	0.382544	 test cost	1.239524	 train acc	0.854936	 test acc	0.353286
Search parameters {'num_hidden': 8, 'size_layer': 254, 'learning_rate': 0.19000972467758914, 'dropout_rate': 0.8725415447955491}	 stop after 400 iteration with train cost	0.382204	 test cost	1.248370	 train acc	0.855545	 test acc	0.347118
Search parameters {'num_hidden': 9, 'size_layer': 252, 'learning_rate': 0.01, 'dropout_rate': 0.7007175804421399}	 stop after 400 iteration with train cost	0.396994	 test cost	1.279550	 train acc	0.848366	 test acc	0.398989
Search parameters {'num_hidden': 9, 'size_layer': 251, 'learning_rate': 0.17776697248170964, 'dropout_rate': 0.7961196737617071}	 stop after 400 iteration with train cost	0.383656	 test cost	1.238185	 train acc	0.854733	 test acc	0.358645
Search parameters {'num_hidden': 9, 'size_layer': 253, 'learning_rate': 0.2, 'dropout_rate': 0.6}	 stop after 400 iteration with train cost	0.488781	 test cost	1.640624	 train acc	0.808289	 test acc	0.000000
Search parameters {'num_hidden': 10, 'size_layer': 278, 'learning_rate': 0.14960929636103892, 'dropout_rate': 0.8037236215129537}	 stop after 400 iteration with train cost	0.383932	 test cost	1.247874	 train acc	0.855291	 test acc	0.362285
Search parameters {'num_hidden': 9, 'size_layer': 252, 'learning_rate': 0.0751035526062084, 'dropout_rate': 0.7476546056199916}	 stop after 400 iteration with train cost	0.385409	 test cost	1.239395	 train acc	0.855063	 test acc	0.367846
Search parameters {'num_hidden': 10, 'size_layer': 252, 'learning_rate': 0.05224216140013342, 'dropout_rate': 0.6003350965261349}	 stop after 400 iteration with train cost	0.388851	 test cost	1.267182	 train acc	0.853389	 test acc	0.380789
Search parameters {'num_hidden': 9, 'size_layer': 254, 'learning_rate': 0.04048483736375605, 'dropout_rate': 0.7693320530589036}	 stop after 400 iteration with train cost	0.385411	 test cost	1.234318	 train acc	0.853795	 test acc	0.384631
